# gnuplot data generated by MooNMD
#          x           y           p         psi         u-1         u-2         |u|
#
  2.50000000  3.00000000 -0.12528318  2.60737761  0.95029056  0.05277576  0.95175492
  2.50000000  3.50000000 -0.13651385  3.08343425  0.95374726  0.04207251  0.95467478
  1.87500000  3.50000000 -0.14070125  3.19527137  0.96124887  0.03915799  0.96204612
  1.87500000  3.00000000 -0.12947057  2.71518050  0.95937153  0.04694162  0.96051926
  2.50000000  3.00000000 -0.12528318  2.60737761  0.95029056  0.05277576  0.95175492


  2.50000000  4.00000000 -0.14417103  3.56066127  0.95473425  0.03112256  0.95524138
  1.87500000  4.00000000 -0.14880660  3.67610333  0.96204112  0.03035675  0.96251994
  1.87500000  3.50000000 -0.14082559  3.19527137  0.96124887  0.03915799  0.96204612
  2.50000000  3.50000000 -0.13619002  3.08343425  0.95374726  0.04207251  0.95467478
  2.50000000  4.00000000 -0.14417103  3.56066127  0.95473425  0.03112256  0.95524138


  1.25000000  4.00000000 -0.15834992  3.79119382  0.97067576  0.02853591  0.97109511
  1.25000000  3.50000000 -0.14997956  3.30590585  0.97055029  0.03621624  0.97122576
  1.87500000  3.50000000 -0.14072288  3.19527137  0.96124887  0.03915799  0.96204612
  1.87500000  4.00000000 -0.14909325  3.67610333  0.96204112  0.03035675  0.96251994
  1.25000000  4.00000000 -0.15834992  3.79119382  0.97067576  0.02853591  0.97109511


  1.25000000  3.00000000 -0.13895436  2.82077360  0.97021050  0.04305506  0.97116536
  1.87500000  3.00000000 -0.12978168  2.71518050  0.95937153  0.04694162  0.96051926
  1.87500000  3.50000000 -0.14078011  3.19527137  0.96124887  0.03915799  0.96204612
  1.25000000  3.50000000 -0.14995280  3.30590585  0.97055029  0.03621624  0.97122576
  1.25000000  3.00000000 -0.13895436  2.82077360  0.97021050  0.04305506  0.97116536


  2.50000000  5.00000000 -0.15120828  4.51486119  0.95285127  0.01151860  0.95292089
  1.87500000  5.00000000 -0.15774392  4.63809573  0.96152009  0.01268735  0.96160380
  1.87500000  4.50000000 -0.15479039  4.15715937  0.96201197  0.02137502  0.96224940
  2.50000000  4.50000000 -0.14825476  4.03800434  0.95418676  0.02082459  0.95441397
  2.50000000  5.00000000 -0.15120828  4.51486119  0.95285127  0.01151860  0.95292089


  1.25000000  5.00000000 -0.16810523  4.76179115  0.97040226  0.01246765  0.97048235
  1.25000000  4.50000000 -0.16453062  4.27651825  0.97058719  0.02050396  0.97080374
  1.87500000  4.50000000 -0.15445171  4.15715937  0.96201197  0.02137502  0.96224940
  1.87500000  5.00000000 -0.15802632  4.63809573  0.96152009  0.01268735  0.96160380
  1.25000000  5.00000000 -0.16810523  4.76179115  0.97040226  0.01246765  0.97048235


  1.25000000  4.00000000 -0.15849252  3.79119382  0.97067576  0.02853591  0.97109511
  1.87500000  4.00000000 -0.14886304  3.67610333  0.96204112  0.03035675  0.96251994
  1.87500000  4.50000000 -0.15472487  4.15715937  0.96201197  0.02137502  0.96224940
  1.25000000  4.50000000 -0.16435435  4.27651825  0.97058719  0.02050396  0.97080374
  1.25000000  4.00000000 -0.15849252  3.79119382  0.97067576  0.02853591  0.97109511


  2.50000000  4.00000000 -0.14360779  3.56066127  0.95473425  0.03112256  0.95524138
  2.50000000  4.50000000 -0.14883258  4.03800434  0.95418676  0.02082459  0.95441397
  1.87500000  4.50000000 -0.15438742  4.15715937  0.96201197  0.02137502  0.96224940
  1.87500000  4.00000000 -0.14916262  3.67610333  0.96204112  0.03035675  0.96251994
  2.50000000  4.00000000 -0.14360779  3.56066127  0.95473425  0.03112256  0.95524138


  0.00000000  5.00000000 -0.19926072  4.88427661  1.00000000  0.00000000  1.00000000
  0.00000000  4.50000000 -0.19538540  4.39392010  1.00000000  0.00000000  1.00000000
  0.62500000  4.50000000 -0.17797478  4.39166092  0.98264574  0.00795348  0.98267792
  0.62500000  5.00000000 -0.18185010  4.88298148  0.98258623  0.00468230  0.98259739
  0.00000000  5.00000000 -0.19926072  4.88427661  1.00000000  0.00000000  1.00000000


  0.00000000  4.00000000 -0.18917206  3.90356359  1.00000000  0.00000000  1.00000000
  0.62500000  4.00000000 -0.17179945  3.90031826  0.98272080  0.01128444  0.98278558
  0.62500000  4.50000000 -0.17799262  4.39166092  0.98264574  0.00795348  0.98267792
  0.00000000  4.50000000 -0.19536522  4.39392010  1.00000000  0.00000000  1.00000000
  0.00000000  4.00000000 -0.18917206  3.90356359  1.00000000  0.00000000  1.00000000


  1.25000000  4.00000000 -0.15830513  3.79119382  0.97067576  0.02853591  0.97109511
  1.25000000  4.50000000 -0.16442385  4.27651825  0.97058719  0.02050396  0.97080374
  0.62500000  4.50000000 -0.17793713  4.39166092  0.98264574  0.00795348  0.98267792
  0.62500000  4.00000000 -0.17181841  3.90031826  0.98272080  0.01128444  0.98278558
  1.25000000  4.00000000 -0.15830513  3.79119382  0.97067576  0.02853591  0.97109511


  1.25000000  5.00000000 -0.16813925  4.76179115  0.97040226  0.01246765  0.97048235
  0.62500000  5.00000000 -0.18181622  4.88298148  0.98258623  0.00468230  0.98259739
  0.62500000  4.50000000 -0.17799307  4.39166092  0.98264574  0.00795348  0.98267792
  1.25000000  4.50000000 -0.16431611  4.27651825  0.97058719  0.02050396  0.97080374
  1.25000000  5.00000000 -0.16813925  4.76179115  0.97040226  0.01246765  0.97048235


  0.00000000  5.00000000 -0.19926992  4.88427661  1.00000000  0.00000000  1.00000000
  0.62500000  5.00000000 -0.18184659  4.88298148  0.98258623  0.00468230  0.98259739
  0.62500000  5.50000000 -0.18345096  5.37429678  0.98257312  0.00143125  0.98257417
  0.00000000  5.50000000 -0.20087429  5.37463315  1.00000000  0.00000000  1.00000000
  0.00000000  5.00000000 -0.19926992  4.88427661  1.00000000  0.00000000  1.00000000


  1.25000000  5.00000000 -0.16806762  4.76179115  0.97040226  0.01246765  0.97048235
  1.25000000  5.50000000 -0.16970058  5.24699792  0.97027919  0.00462317  0.97029021
  0.62500000  5.50000000 -0.18347768  5.37429678  0.98257312  0.00143125  0.98257417
  0.62500000  5.00000000 -0.18184472  4.88298148  0.98258623  0.00468230  0.98259739
  1.25000000  5.00000000 -0.16806762  4.76179115  0.97040226  0.01246765  0.97048235


  1.25000000  6.00000000 -0.16924714  5.73221810  0.97043461 -0.00296814  0.97043915
  0.62500000  6.00000000 -0.18295283  5.86564900  0.98265600 -0.00190464  0.98265784
  0.62500000  5.50000000 -0.18343143  5.37429678  0.98257312  0.00143125  0.98257417
  1.25000000  5.50000000 -0.16972574  5.24699792  0.97027919  0.00462317  0.97029021
  1.25000000  6.00000000 -0.16924714  5.73221810  0.97043461 -0.00296814  0.97043915


  0.00000000  6.00000000 -0.20016592  5.86498963  1.00000000  0.00000000  1.00000000
  0.00000000  5.50000000 -0.20085320  5.37463315  1.00000000  0.00000000  1.00000000
  0.62500000  5.50000000 -0.18348836  5.37429678  0.98257312  0.00143125  0.98257417
  0.62500000  6.00000000 -0.18280108  5.86564900  0.98265600 -0.00190464  0.98265784
  0.00000000  6.00000000 -0.20016592  5.86498963  1.00000000  0.00000000  1.00000000


  2.50000000  5.00000000 -0.15073288  4.51486119  0.95285127  0.01151860  0.95292089
  2.50000000  5.50000000 -0.15182115  4.99096780  0.95126802  0.00328036  0.95127367
  1.87500000  5.50000000 -0.15916834  5.11875584  0.96090863  0.00453530  0.96091934
  1.87500000  5.00000000 -0.15808008  4.63809573  0.96152009  0.01268735  0.96160380
